Sku_Code,Item_Number,Item_Name,Sales_Price,Product_Group,Business_Area,Dns,Item,Color_Code,Size,Procurement_Group,Color_Name,Color_Code,Heel_Type,Occasion,Shoe_Type,Description
118-10001-33-7,118-10001-102,118-10001 Y-33-YELLOW_7_A,1995,US,OTR,118,10001,33,7,7C1,YELLOW,Y,N/A,Womens Bags,backpack,Lemon
118-10001-33-8,118-10001-103,118-10001 Y-33-YELLOW_8_A,1995,US,OTR,118,10001,33,8,7C1,YELLOW,Y,N/A,Womens Bags,backpack,Lemon
118-10001-33-9,118-10001-104,118-10001 Y-33-YELLOW_9_A,1995,US,OTR,118,10001,33,9,7C1,YELLOW,Y,N/A,Womens Bags,backpack,Lemon
118-10001-25-10,118-10001-105,118-10001 O-25-ORANGE_10_A,1995,US,OTR,118,10001,25,10,817,ORANGE,O,N/A,Womens Bags,backpack,Tangerine
118-10001-25-11,118-10001-106,118-10001 O-25-ORANGE_11_A,1995,US,OTR,118,10001,25,11,817,ORANGE,O,N/A,Womens Bags,backpack,Tangerine
118-10001-25-12,118-10001-107,118-10001 O-25-ORANGE_12_A,1995,US,OTR,118,10001,25,12,817,ORANGE,O,N/A,Womens Bags,backpack,Tangerine
118-10001-25-13,118-10001-108,118-10001 O-25-ORANGE_13_A,1995,US,OTR,118,10001,25,13,817,ORANGE,O,N/A,Womens Bags,backpack,Tangerine
118-10001-25-14,118-10001-109,118-10001 O-25-ORANGE_14_A,1995,US,OTR,118,10001,25,14,817,ORANGE,O,N/A,Womens Bags,backpack,Tangerine
118-10001-25-15,118-10001-110,118-10001 O-25-ORANGE_15_A,1995,US,OTR,118,10001,25,15,817,ORANGE,O,N/A,Womens Bags,backpack,Tangerine
118-10001-25-16,118-10001-111,118-10001 O-25-ORANGE_16_A,1995,US,OTR,118,10001,25,16,817,ORANGE,O,N/A,Womens Bags,backpack,Tangerine
118-10001-25-17,118-10001-112,118-10001 O-25-ORANGE_17_A,1995,US,OTR,118,10001,25,17,817,ORANGE,O,N/A,Womens Bags,backpack,Tangerine
118-10001-25-4,118-10001-113,118-10001 O-25-ORANGE_4_A,1995,US,OTR,118,10001,25,4,817,ORANGE,O,N/A,Womens Bags,backpack,Tangerine
118-10001-25-5,118-10001-114,118-10001 O-25-ORANGE_5_A,1995,US,OTR,118,10001,25,5,817,ORANGE,O,N/A,Womens Bags,backpack,Tangerine
